m112,m122,m222,lam1,lam2,lam3,lam4,lam5,mu,yt,gp,g,nvev1,nvev2,nvev3,cbvev1,cbvev2,cbvev3
-11465.286616519408,-3644.942430063809,-125914.62346760508,0.19272915781890296,9.224966402044048,0.6939481210177372,1.9947159674971393,0.6336864352465931,246,3.761284474679785,0.3497,0.652954,13.466601440616198,-187.3588433826989,-12504712441862604e-27,15.78546619203673,-161.9193590943341,-182.78584721611313
-7309.9199809629645,-37365.84523569747,-19832.838681331275,0.17459976824346302,0.46267072793445063,0.29889958975018827,4.793314054613858,-1.8642307771864668,246,1.9130008719764808,0.3497,0.652954,-130.39222607597512,197.92668392822154,18627767893428067e-26,161.59692475024758,-160.10853081120868,98.32609542124793
-20361.626260860332,9.317472514691872,-24377.48068918547,0.6029358477393832,0.7514685966162428,0.7076446660791508,0.07585710111979425,-0.07369515864784315,246,1.1145476493044943,0.3497,0.652954,10.826666169463797,243.45486246814033,2384937824740219e-27,220.88339683811867,82.01943077995581,111.9872739920627
-1594.8921823854964,1145.2869568000685,-52105.648910183016,0.0150252750851958,7.40443424412235,0.34273628984730153,1.1802481657581398,-0.9020810756671405,246,2.912249353691227,0.3497,0.652954,-84.82660627867114,-97.18433998227817,5133765680261841e-28,-135.48495654901504,-65.2402560222771,371.65784342693894
-49185.35626817182,18756.937495705723,-48037.54220646087,1.6107970661470339,1.327891452109202,1.5161754414800357,1.1468909126537248,0.2634861429129817,246,1.3561319067393256,0.3497,0.652954,114.14283744834333,230.2336321450843,3889390349017095e-25,-200.59978418296188,-131.9725553300162,-76.80160330973271
-16855.476162136438,-33.92907722620544,-88836.67782280929,0.3090142903677884,7.09216393527994,1.514871588799651,0.7977391258252248,-0.7914501373056143,246,2.1007461055702326,0.3497,0.652954,52.92887155140354,-147.11963770989112,-3533154543773062e-26,-118.93836753285979,113.46388084912789,191.98357211742217
-55306.21852000457,1908.8505267348862,-51427.473335707815,1.8441287195439249,1.4173738952269272,1.693240819287393,0.4481282633104753,-0.15110239363304512,246,1.320526844018143,0.3497,0.652954,-44.59580457244853,-257.7372411337047,10671651740585823e-26,-217.43421428535677,-59.48951215429534,104.81432421668465
-152378.64966075547,-3570.698729047164,-55930.072995726616,5.561042482797421,0.6881306590108862,2.1017842926153776,3.557633338020139,-0.653465666545104,246,1.158858019707009,0.3497,0.652954,5.961790561177128,-378.20211247299636,-22115952611870682e-29,-57.440808210858904,38.951288974028444,-219.8105385192831
-64706.91531574025,16118.70720734604,-146807.2539207292,1.4622988817204392,6.774005567372951,3.2052228802203935,1.2044480287281991,0.12853238763175634,246,1.7797183238645582,0.3497,0.652954,-128.6836066614572,-176.9805995268425,8134974428139836e-27,-180.08041736732062,-127.32265744652932,-141.57162621245018
-12690.742672792006,-329.8852164121543,-45653.350441131355,0.2707018718731298,2.080099168518194,0.7392926266147749,0.7994737419245843,-0.49028097415449245,246,2.13503770334483,0.3497,0.652954,11.336059857363026,-188.0594723318527,4741573888451869e-28,14.686799097345201,-149.20944997685163,-191.07956109542317
